"Path","SizeMB"
"C:\Users\hp\Desktop\chatty\frontend\public\screenshot-for-readme.png","0.673559"
"C:\Users\hp\Desktop\chatty\frontend\package-lock.json","0.188552"
"C:\Users\hp\Desktop\chatty\backend\package-lock.json","0.065616"
"C:\Users\hp\Desktop\chatty\frontend\public\avatar.png","0.028356"
"C:\Users\hp\Desktop\chatty\frontend\src\components\GroupInfo.jsx","0.027015"
"C:\Users\hp\Desktop\chatty\frontend\src\store\useGroupCallStore.js","0.017399"
"C:\Users\hp\Desktop\chatty\frontend\src\components\Sidebar.jsx","0.015508"
"C:\Users\hp\Desktop\chatty\frontend\src\components\UserProfileModal.jsx","0.014993"
"C:\Users\hp\Desktop\chatty\backend\src\lib\socket.js","0.013664"
"C:\Users\hp\Desktop\chatty\frontend\src\store\useGroupStore.js","0.012763"
"C:\Users\hp\Desktop\chatty\frontend\src\components\GroupMessageInput.jsx","0.011989"
"C:\Users\hp\Desktop\chatty\frontend\src\components\MessageInput.jsx","0.01166"
"C:\Users\hp\Desktop\chatty\frontend\src\store\useChatStore.js","0.011654"
"C:\Users\hp\Desktop\chatty\frontend\src\components\GroupChatContainer.jsx","0.009244"
"C:\Users\hp\Desktop\chatty\frontend\src\store\useCallStore.js","0.00832"
"C:\Users\hp\Desktop\chatty\backend\src\controllers\group.controller.js","0.007628"
"C:\Users\hp\Desktop\chatty\backend\src\controllers\auth.controller.js","0.007006"
"C:\Users\hp\Desktop\chatty\frontend\src\pages\SignUpPage.jsx","0.006481"
"C:\Users\hp\Desktop\chatty\frontend\src\components\ChatContainer.jsx","0.006361"
"C:\Users\hp\Desktop\chatty\frontend\src\pages\ProfilePage.jsx","0.00631"
"C:\Users\hp\Desktop\chatty\frontend\src\store\useAuthStore.js","0.006171"
"C:\Users\hp\Desktop\chatty\backend\src\controllers\message.controller.js","0.005571"
"C:\Users\hp\Desktop\chatty\frontend\src\components\FileAttachment.jsx","0.005551"
"C:\Users\hp\Desktop\chatty\frontend\src\components\GroupChatHeader.jsx","0.005448"
"C:\Users\hp\Desktop\chatty\frontend\src\lib\utils.js","0.004428"
"C:\Users\hp\Desktop\chatty\frontend\src\pages\LoginPage.jsx","0.004335"
"C:\Users\hp\Desktop\chatty\frontend\src\components\ChatContextMenu.jsx","0.003968"
"C:\Users\hp\Desktop\chatty\frontend\src\components\GroupCallOverlay.jsx","0.003956"
"C:\Users\hp\Desktop\chatty\frontend\src\components\CallOverlay.jsx","0.003555"
"C:\Users\hp\Desktop\chatty\backend\src\seeds\user.seed.js","0.003504"
"C:\Users\hp\Desktop\chatty\backend\src\controllers\groupMessage.controller.js","0.003392"
"C:\Users\hp\Desktop\chatty\frontend\src\components\NotificationsBell.jsx","0.003092"
"C:\Users\hp\Desktop\chatty\frontend\src\components\ChatHeader.jsx","0.002981"
